Date,Saturn Longitude,Pluto Longitude,Angle Difference
1939-01-01,11.512998045427553,120.81140946593845,250.7015885794891
1939-01-02,11.545969331656039,120.79067547347245,250.7552938581836
1939-01-03,11.580707049763506,120.76979523543264,250.81091181433086
1939-01-04,11.617195955145034,120.74877277675428,250.86842317839074
1939-01-05,11.655417019356463,120.72760814940389,250.92780886995257
1939-01-06,11.695349815745185,120.70629959356305,250.98905022218213
1939-01-07,11.736976038617412,120.68484695933081,251.0521290792866
1939-01-08,11.78028242574739,120.66325469618374,251.11702772956363
1939-01-09,11.825261518788285,120.64153282312877,251.1837286956595
1939-01-10,11.871909965774446,120.61969551111515,251.25221445465928
1939-01-11,11.92022548660999,120.597758339453,251.322467147157
1939-01-12,11.970204139498748,120.57573580195583,251.39446833754292
1939-01-13,12.021838920831424,120.55364006675919,251.46819885407223
1939-01-14,12.07511964427148,120.53148093924274,251.54363870502874
1939-01-15,12.130033422709904,120.50926637043727,251.62076705227264
1939-01-16,12.186565196855039,120.48700295717589,251.69956223967915
1939-01-17,12.244698216018788,120.46469638544947,251.78000183056932
1939-01-18,12.30441460797313,120.44235195234745,251.86206265562566
1939-01-19,12.365696044333415,120.419975188967,251.9457208553664
1939-01-20,12.42852430960409,120.39757239769659,252.0309519119075
1939-01-21,12.492881630063254,120.37515094782415,252.11773068223908
1939-01-22,12.558750826551321,120.35271938118859,252.20603144536273
1939-01-23,12.626115436475557,120.33028748140572,252.29582795506985
1939-01-24,12.694959819424767,120.30786630946554,252.38709350995924
1939-01-25,12.7652690915942,120.28546807688845,252.47980101470574
1939-01-26,12.837028798174321,120.26310574841857,252.57392304975576
1939-01-27,12.91022441372221,120.24079250144429,252.6694319122779
1939-01-28,12.98484082771347,120.21854115364981,252.76629967406365
1939-01-29,13.06086177884643,120.1963635162012,252.8644982626452
1939-01-30,13.138269053547583,120.17426948080004,252.96399957274755
1939-01-31,13.217041523657189,120.15226588352736,253.06477564012982
1939-02-01,13.297154641230978,120.13035578650594,253.16679885472502
1939-02-02,13.378581287543344,120.10853910243158,253.27004218511178
1939-02-03,13.461294300358372,120.08681494192196,253.37447935843642
1939-02-04,13.545269834084788,120.06518490798022,253.48008492610455
1939-02-05,13.630489831217721,120.04365562759419,253.58683420362354
1939-02-06,13.716942148109787,120.02223908325034,253.69470306485945
1939-02-07,13.804618239903405,120.00095058586938,253.80366765403403
1939-02-08,13.893509743754976,119.97980566697288,253.9137040767821
1939-02-09,13.98360573882096,119.95881759149037,254.02478814733058
1939-02-10,14.074891691568045,119.93799646768383,254.1368952238842
1939-02-11,14.167349869914439,119.91734972696712,254.25000014294733
1939-02-12,14.260960334712776,119.89688310499817,254.3640772297146
1939-02-13,14.355701782966921,119.87660143681919,254.47910034614773
1939-02-14,14.451552104363683,119.85650915518205,254.59504294918162
1939-02-15,14.548488855769182,119.83661071175266,254.7118781440165
1939-02-16,14.646489760185833,119.81691104075705,254.82957871942878
1939-02-17,14.745533131535643,119.79741595852994,254.9481171730057
1939-02-18,14.845598097893994,119.77813236270012,255.06746573519388
1939-02-19,14.946664676147234,119.75906827491896,255.1875964012283
1939-02-20,15.048713816958244,119.74023283796754,255.3084809789907
1939-02-21,15.151727413508025,119.7216362692791,255.43009114422892
1939-02-22,15.25568811878699,119.70328961244466,255.55239850634234
1939-02-23,15.360578859480793,119.68520419437199,255.6753746651088
1939-02-24,15.466382153830423,119.66739087675153,255.7989912770789
1939-02-25,15.57307944820522,119.6498593299674,255.92322011823782
1939-02-26,15.68065058260024,119.63261740199715,256.04803318060306
1939-02-27,15.789073319054518,119.61567054175893,256.17340277729556
1939-02-28,15.898323002137333,119.59902131141118,256.29930169072617
1939-03-01,16.008372743821127,119.58266942181594,256.4257033220052
1939-03-02,16.119194670365214,119.56661282511111,256.5525818452541
1939-03-03,16.23076229161015,119.55084997899566,256.6799123126145
1939-03-04,16.343053181051552,119.53538248351643,256.8076706975351
1939-03-05,16.45605055077424,119.52021673428696,256.9358338164873
1939-03-06,16.569742688955728,119.50536352536018,257.06437916359556
1939-03-07,16.684120395332556,119.49083576181044,257.1932846335221
1939-03-08,16.79917372601465,119.47664549313951,257.32252823287513
1939-03-09,16.914889621448378,119.46280179367962,257.45208782776876
1939-03-10,17.03125123152392,119.44931025709046,257.58194097443345
1939-03-11,17.148238659214837,119.43617379727753,257.7120648619373
1939-03-12,17.26583022406206,119.42339389415181,257.84243632991024
1939-03-13,17.384003505009993,119.41097158088951,257.9730319241205
1939-03-14,17.502735969299138,119.39890800975175,258.1038279595474
1939-03-15,17.622005357461457,119.38720478532596,258.2348005721355
1939-03-16,17.74178998869876,119.37586424671767,258.3659257419811
1939-03-17,17.862069006954446,119.36488968891585,258.4971793180386
1939-03-18,17.982822512568895,119.3542854782223,258.6285370343466
1939-03-19,18.10403160062775,119.34405706609427,258.7599745345335
1939-03-20,18.225678351952176,119.33421094660815,258.89146740534403
1939-03-21,18.347745722777667,119.32475450104135,259.02299122173633
1939-03-22,18.470217187971368,119.31569559214464,259.15452159582674
1939-03-23,18.593076077564273,119.30704182994833,259.28603424761593
1939-03-24,18.716304732855107,119.29879965546003,259.41750507739505
1939-03-25,18.839883773035037,119.29097350955261,259.5489102634824
1939-03-26,18.96379168310277,119.28356531499172,259.68022636811105
1939-03-27,19.088004810864597,119.27657434694302,259.81143046392157
1939-03-28,19.212497789375913,119.26999754335804,259.94250024601786
1939-03-29,19.33724449884643,119.26383036043347,260.07341413841294
1939-03-30,19.46221962965116,119.25806826129647,260.2041513683547
1939-03-31,19.58740062095379,119.25270860766814,260.33469201328563
1939-04-01,19.712769266461375,119.2477522818677,260.46501698459366
1939-04-02,19.83831213412987,119.24320418214872,260.59510795198116
1939-04-03,19.96401933552216,119.23907215249457,260.72494718302755
1939-04-04,20.089882038510467,119.23536472215606,260.8545173163544
1939-04-05,20.21588980057706,119.23208870037257,260.98380110020446
1939-04-06,20.342028830134282,119.22924769068729,261.112781139447
1939-04-07,20.468281643742365,119.2268419851909,261.2414396585515
1939-04-08,20.594627695686366,119.22486951122568,261.3697581844607
1939-04-09,20.72104399231213,119.22332712827016,261.497716864042
1939-04-10,20.847505028567333,119.2222116737787,261.6252933547886
1939-04-11,20.973985208140764,119.22152058307076,261.75246462507
1939-04-12,21.10046941846644,119.22125217174627,261.87921724672015
1939-04-13,21.226949924344144,119.22140575213861,262.00554417220553
1939-04-14,21.353408481119665,119.2219816757736,262.13142680534605
1939-04-15,21.479822348673284,119.22298133742957,262.2568410112437
1939-04-16,21.606171729483957,119.22440715468957,262.3817645747944
1939-04-17,21.732439517163357,119.22626250265083,262.50617701451256
1939-04-18,21.858610009610615,119.2285514657127,262.6300585438979
1939-04-19,21.984667901536625,119.23127828106982,262.7533896204668
1939-04-20,22.110597260173773,119.23444641044881,262.876150849725
1939-04-21,22.236380484410144,119.23805745768576,262.9983230267244
1939-04-22,22.36199754404645,119.24211029602225,263.1198872480242
